Month,Height(in),Deer,Temp(C),Precip(in)
0,3.7811,1,0,9.75099
1,7.2606,2,0,7.16247
2,8.34855,3,10,10.9054
3,7.30157,4,11,12.7036
4,3.37004,5,17,13.9302
5,0.87004,4,27,9.45955
6,0,3,23,7.77627
7,0,2,31,3.69422
8,0,1,18,1.69111
9,0,0,19,0.615388
10,0.374881,0,13,0.473499
11,4.9489,1,9,2.89319
12,10.0637,2,6,4.65382
13,15.8658,3,6,8.56383
14,14.2937,4,11,9.79351
15,10.3101,5,18,14.6257
16,5.45209,6,16,12.4584
17,2.4521,5,25,10.7595
18,0,4,23,8.61334
19,0,3,27,7.34106
20,0,2,25,4.64504
21,0,1,18,0
22,0,0,16,1.48274
23,5.59568,0,8,3.19291
24,12.9744,1,5,6.02324
25,20.2362,2,2,9.70853
26,19.0083,3,13,9.67465
27,16.0335,4,17,11.1729
28,12.2783,5,15,13.5898
29,7.27836,6,24,11.1812
30,1.27853,7,23,10.2953
31,0,6,28,6.13949
32,0,4,23,1.98452
33,0,1,18,2.63458
34,0.36215,0,10,0
35,4.14424,1,9,2.41824
36,10.7443,2,5,6.86933
37,15.3543,3,1,6.83276
38,20.9764,4,5,11.3999
39,17.2375,5,14,10.9076
40,12.2875,6,17,11.846
41,6.28753,7,28,11.5622
42,2.78753,6,28,9.46137
43,0,5,31,6.1354
44,0,3,24,1.89855
45,0,2,15,3.01011
46,0,1,10,1.81281
47,3.79115,0,6,3.83939
48,11.1618,1,2,6.79723
49,19.0109,2,3,9.2303
50,19.8023,3,10,12.429
51,17.5721,4,12,14.081
52,13.5764,5,20,11.9894
53,8.57673,6,22,13.0455
54,2.57673,7,29,8.61541
55,0,6,29,4.30373
56,0,4,24,4.067
57,0,1,15,1.43604
58,0.824569,0,9,0.602669
59,6.68179,1,6,0.905843
60,9.1293,2,9,6.14733
61,16.0341,3,4,8.99345
62,21.9924,4,4,10.5946
63,19.6413,5,11,14.3698
64,14.702,6,17,12.7813
65,8.70201,7,26,10.8272
66,1.70201,8,30,7.87493
67,0,7,29,6.29722
68,0,5,28,3.41133
69,0,2,21,0
70,0.533976,0,8,0.398816
71,2.39723,1,11,3.00297
